"Cluster.ID","Ind.ID","BATCH","OR","OR1","OR0"
98,3125,55,0.52849166277509,0.717484473589007,0.52849166277509
98,3126,55,0.668863630524666,0.668863630524666,0.506141438711315
98,3127,55,0.472856955400779,0.653684017394357,0.472856955400779
98,3128,55,0.491847377829006,0.665643643714308,0.491847377829006
98,3129,55,0.493539075350446,0.666574286062945,0.493539075350446
98,3130,55,0.609468925172323,0.609468925172323,0.430197364081362
98,3131,55,0.461757953327486,0.668863419314434,0.461757953327486
98,3132,55,0.752701637968493,0.752701637968493,0.624219304154772
98,3133,55,0.666574286062945,0.666574286062945,0.493539075350446
98,3134,55,0.463138540847163,0.643629630158619,0.463138540847163
98,3135,55,0.665643643714308,0.665643643714308,0.491847377829006
98,3136,55,0.646443435120283,0.646443435120283,0.467315404775198
98,3137,55,0.653684017394357,0.653684017394357,0.472856955400779
98,3138,55,0.649489199918876,0.649489199918876,0.475169407975134
98,3139,55,0.472856955400779,0.653684017394357,0.472856955400779
98,3140,55,0.894596566810009,0.894596566810009,0.816445936953994
98,3141,55,0.512932307703894,0.701622814421044,0.512932307703894
98,3142,55,0.737338451140043,0.737338451140043,0.56358309554446
98,3143,55,0.517008244230353,0.708795509246033,0.517008244230353
98,3144,55,0.52849166277509,0.717484473589007,0.52849166277509
98,3145,55,0.838760792474807,0.905579877013262,0.838760792474807
99,3146,55,0.654776512618986,0.654776512618986,0.470770586041337
99,3147,55,0.519502895757162,0.660762323973023,0.519502895757162
99,3148,55,0.642473059019703,0.642473059019703,0.458463187821186
99,3149,55,0.620926614304652,0.620926614304652,0.46409447163163
99,3150,55,0.634670206382141,0.634670206382141,0.469760359744326
99,3151,55,0.443049047670078,0.624397305413483,0.443049047670078
99,3152,55,0.642473059019703,0.642473059019703,0.458463187821186
99,3153,55,0.878229840087774,0.922794925998842,0.878229840087774
99,3154,55,0.632330868858837,0.632330868858837,0.471491912840206
99,3155,55,0.635671880763895,0.764957259599379,0.635671880763895
99,3156,55,0.84153100125512,0.84153100125512,0.769006193978404
99,3157,55,0.638097330169085,0.766944170480475,0.638097330169085
99,3158,55,0.787779771786592,0.787779771786592,0.678122983942296
99,3159,55,0.454734928873047,0.624446443866954,0.454734928873047
99,3160,55,0.577512238760251,0.577512238760251,0.427311101683883
99,3161,55,0.585977406602364,0.75278713484727,0.585977406602364
99,3162,55,0.938636590521101,0.938636590521101,0.912560363058581
99,3163,55,0.586895070719361,0.75686708913929,0.586895070719361
99,3164,55,0.58739230740801,0.709403811009326,0.58739230740801
99,3165,55,0.638097330169085,0.766944170480475,0.638097330169085
99,3166,55,0.638097330169085,0.766944170480475,0.638097330169085
99,3167,55,0.924409640375353,0.924409640375353,0.877880103157577
99,3168,55,0.922284669863105,0.947977892937044,0.922284669863105
99,3169,55,0.75278713484727,0.75278713484727,0.585977406602364
99,3170,55,0.762516304716552,0.762516304716552,0.61334235020533
99,3171,55,0.642473059019703,0.642473059019703,0.458463187821186
99,3172,55,0.513214145298272,0.680387732489593,0.513214145298272
99,3173,55,0.64818302465308,0.64818302465308,0.49198862782456
99,3174,55,0.454734928873047,0.624446443866954,0.454734928873047
99,3175,55,0.642473059019703,0.642473059019703,0.458463187821186
99,3176,55,0.625541298712616,0.625541298712616,0.464898484153636
99,3177,55,0.48114393528422,0.650633766765673,0.48114393528422
99,3178,55,0.458463187821186,0.642473059019703,0.458463187821186
99,3179,55,0.764957259599379,0.764957259599379,0.635671880763895
99,3180,55,0.469760359744326,0.634670206382141,0.469760359744326
99,3181,55,0.467694116229971,0.652748611649255,0.467694116229971
100,3182,55,0.893269692325178,0.931932704676456,0.893269692325178
100,3183,55,0.79640367727822,0.874731050528595,0.79640367727822
100,3184,55,0.732425181652656,0.732425181652656,0.5759846182041
100,3185,55,0.890949588021524,0.926118543107774,0.890949588021524
100,3186,55,0.934022492228216,0.934022492228216,0.899279895102084
100,3187,55,0.729856385735629,0.729856385735629,0.572539940618987
100,3188,55,0.562849868392024,0.725064935186502,0.562849868392024
100,3189,55,0.525902683907505,0.713892708221882,0.525902683907505
100,3190,55,0.578243061534627,0.733244507921987,0.578243061534627
100,3191,55,0.90075555349994,0.90075555349994,0.844810205657051
100,3192,55,0.520452536992092,0.674331305871737,0.520452536992092
100,3193,55,0.652376145727101,0.652376145727101,0.481965774467381
100,3194,55,0.691550530790545,0.691550530790545,0.54538481902304
100,3195,55,0.577088526679564,0.714758062509257,0.577088526679564
100,3196,55,0.479807854061739,0.651380047749524,0.479807854061739
100,3197,55,0.656148383662132,0.656148383662132,0.490940601647782
100,3198,55,0.737452880898472,0.737452880898472,0.615922847036638
100,3199,55,0.683771211069589,0.683771211069589,0.534224219960766
100,3200,55,0.707785206580527,0.707785206580527,0.560223550592952
100,3201,55,0.481932828897861,0.659840870766006,0.481932828897861
100,3202,55,0.479807854061739,0.651380047749524,0.479807854061739
101,3203,55,0.623622272797121,0.765094885186948,0.623622272797121
101,3204,55,0.766793545084592,0.766793545084592,0.623435547798195
101,3205,55,0.622640456965081,0.748951705249668,0.622640456965081
101,3206,55,0.765247186698939,0.765247186698939,0.612959336299785
101,3207,55,0.540523917288786,0.708400324542049,0.540523917288786
101,3208,55,0.505243946351876,0.699479481035943,0.505243946351876
101,3209,55,0.67819636885566,0.67819636885566,0.515159334206043
101,3210,55,0.708400324542049,0.708400324542049,0.540523917288786
101,3211,55,0.695853950782097,0.695853950782097,0.49175349659077
101,3212,55,0.540769265752994,0.706221078216003,0.540769265752994
101,3213,55,0.696173307121551,0.696173307121551,0.513807422193914
101,3214,55,0.740924468885733,0.740924468885733,0.555733021865745
101,3215,55,0.612096741500478,0.75614858673233,0.612096741500478
101,3216,55,0.935778412873346,0.935778412873346,0.901348628913804
101,3217,55,0.608631410604805,0.758646396761673,0.608631410604805
101,3218,55,0.739206899361483,0.739206899361483,0.59622000695711
101,3219,55,0.928874058623206,0.928874058623206,0.889859454370615
101,3220,55,0.608631410604805,0.758646396761673,0.608631410604805
101,3221,55,0.601372449715155,0.755088299099197,0.601372449715155
101,3222,55,0.560109507564532,0.725723983087653,0.560109507564532
101,3223,55,0.521789206755698,0.698259972052052,0.521789206755698
101,3224,55,0.623435547798195,0.766793545084592,0.623435547798195
101,3225,55,0.626753282052613,0.751714871116466,0.626753282052613
101,3226,55,0.692047287560967,0.692047287560967,0.508313268545827
101,3227,55,0.721648669508586,0.721648669508586,0.563456871500994
101,3228,55,0.765094885186948,0.765094885186948,0.623622272797121
101,3229,55,0.601372449715155,0.755088299099197,0.601372449715155
101,3230,55,0.898444874705009,0.898444874705009,0.832208109701413
